player_id,name_first,name_last,debut_year,fangraphs_id,bbref_id
434670,Hanley,Ramírez,2005,8001,ramirha01
608385,Jesse,Winker,2017,13590,winkeje01
592450,Aaron,Judge,2016,15640,judgeaa01
518934,DJ,LeMahieu,2011,9874,lemahdj01
446334,Evan,Longoria,2008,9368,longoev01
593871,Jorge,Polanco,2014,13152,polanjo01
518960,Jonathan,Lucroy,2010,7870,lucrojo01
672386,Alejandro,Kirk,2020,22581,kirkal01
467055,Pablo,Sandoval,2008,5409,sandopa01
519203,Anthony,Rizzo,2011,3473,rizzoan01
453568,Charlie,Blackmon,2011,7859,blackch02
666969,Adolis,García,2018,19287,garciad02
650333,Luis,Arráez,2019,18568,arraelu01
502517,Daniel,Murphy,2008,4316,murphda08
542303,Marcell,Ozuna,2013,10324,ozunama01
575929,Willson,Contreras,2016,11609,contrwi01
434567,Geovany,Soto,2005,3707,sotoge01
656775,Cedric,Mullins,2018,17929,mullice01
435263,Brian,McCann,2005,4810,mccanbr01
606115,Orlando,Arcia,2016,13185,arciaor01
518692,Freddie,Freeman,2010,5361,freemfr01
641355,Cody,Bellinger,2017,15998,bellico01
621043,Carlos,Correa,2015,14162,correca01
431094,Aaron,Hill,2005,6104,hillaa01
444843,Andre,Ethier,2006,6265,ethiean01
450314,Ben,Zobrist,2006,7435,zobribe01
665487,Fernando,Tatís,2019,19709,tatisfe02
435063,Mike,Napoli,2006,3057,napolmi01
518626,Josh,Donaldson,2010,5038,donaljo02
661388,William,Contreras,2020,20503,contrwi02
453064,Troy,Tulowitzki,2006,3531,tulowtr01
543063,Brandon,Crawford,2011,5343,crawfbr01
571448,Nolan,Arenado,2013,9777,arenano01
429666,J. J.,Hardy,2005,3797,hardyjj01
592518,Manny,Machado,2012,11493,machama01
471865,Carlos,González,2008,7287,gonzaca01
621439,Byron,Buxton,2015,14161,buxtoby01
592206,Nick,Castellanos,2013,11737,casteni01
446359,Zack,Cozart,2011,2616,cozarza01
462564,Dan,Uggla,2006,3442,ugglada01
650490,Yandy,Díaz,2017,16578,diazya01
467793,Carlos,Santana,2010,2396,santaca01
502671,Paul,Goldschmidt,2011,9218,goldspa01
668804,Bryan,Reynolds,2019,19326,reynobr01
430945,Adam,Jones,2006,6368,jonesad01
488671,Alex,Avila,2009,7476,avilaal01
466320,Melky,Cabrera,2005,4022,cabreme01
456030,Dustin,Pedroia,2006,8370,pedrodu01
457763,Buster,Posey,2009,9166,poseybu01
608369,Corey,Seager,2015,13624,seageco01
669720,Austin,Hays,2017,19363,haysau01
592885,Christian,Yelich,2013,11477,yelicch01
475253,Justin,Smoak,2010,9054,smoakju01
607208,Trea,Turner,2015,16252,turnetr01
431145,Russell,Martin,2006,4616,martiru01
461314,Matt,Kemp,2006,5631,kempma01
665926,Andrés,Giménez,2020,19950,gimenan01
519317,Giancarlo,Stanton,2010,4949,stantmi03
641313,Tim,Anderson,2016,15172,anderti01
460075,Ryan,Braun,2007,3410,braunry02
646240,Rafael,Devers,2017,17350,deverra01
547989,José,Abreu,2014,15676,abreujo02
502110,J. D.,Martinez,2011,6184,martijd02
641680,Jonah,Heim,2020,16930,heimjo01
592663,J. T.,Realmuto,2014,11739,realmjt01
452678,Asdrúbal,Cabrera,2007,4962,cabreas01
458015,Joey,Votto,2007,4314,vottojo01
643446,Jeff,McNeil,2018,15362,mcneije01
488726,Michael,Brantley,2009,4106,brantmi02
596142,Gary,Sánchez,2015,11442,sanchga02
665489,Vladimir,Guerrero,2019,19611,guerrvl02
425902,Prince,Fielder,2005,4613,fieldpr01
608365,Addison,Russell,2015,14106,russead02
429664,Robinson,Canó,2005,3269,canoro01
453943,Todd,Frazier,2011,785,frazito01
624428,Adam,Frazier,2016,15223,fraziad01
669221,Sean,Murphy,2019,19352,murphse01
543760,Marcus,Semien,2013,12533,semiema01
521692,Salvador,Pérez,2011,7304,perezsa02
543807,George,Springer,2014,12856,springe01
571976,Wil,Myers,2013,10047,myerswi01
475582,Ryan,Zimmerman,2005,4220,zimmery01
285078,Josh,Hamilton,2007,1875,hamiljo03
547180,Bryce,Harper,2012,11579,harpebr03
595879,Javier,Báez,2014,12979,baezja01
445988,Martín,Prado,2006,3312,pradoma01
592626,Joc,Pederson,2014,11899,pederjo01
660670,Ronald,Acuña,2018,18401,acunaro01
444876,Alcides,Escobar,2008,6310,escobal02
668227,Randy,Arozarena,2019,19290,arozara01
456715,Lorenzo,Cain,2010,9077,cainlo01
543333,Eric,Hosmer,2011,3516,hosmeer01
606192,Teoscar,Hernández,2016,13066,hernate01
673962,Josh,Jung,2022,26299,jungjo01
606466,Ketel,Marte,2015,13613,marteke01
598265,Jackie,Bradley,2013,12984,bradlja02
455976,Nick,Markakis,2006,5930,markani01
593428,Xander,Bogaerts,2013,12161,bogaexa01
605137,Josh,Bell,2016,13145,belljo02
608070,José,Ramírez,2013,13510,ramirjo01
624577,Yasiel,Puig,2013,14225,puigya01
608324,Alex,Bregman,2016,17678,bregmal01
514888,José,Altuve,2011,5417,altuvjo01
545361,Mike,Trout,2011,10155,troutmi01
457705,Andrew,McCutchen,2009,9847,mccutan01
605141,Mookie,Betts,2014,13611,bettsmo01
448801,Chris,Davis,2008,9272,davisch02
572816,Corey,Dickerson,2013,10762,dickeco01
460576,Carlos,Gómez,2007,4881,gomezca01
682998,Corbin,Carroll,2022,25878,carroco02
443558,Nelson,Cruz,2005,2434,cruzne02
