player_id,name_first,name_last,mlb_debut,bbref_id,fangraphs_id
434670,Hanley,Ramírez,2005-01-01,ramirha01,8001
608385,Jesse,Winker,2017-01-01,winkeje01,13590
592450,Aaron,Judge,2016-01-01,judgeaa01,15640
518934,DJ,LeMahieu,2011-01-01,lemahdj01,9874
446334,Evan,Longoria,2008-01-01,longoev01,9368
593871,Jorge,Polanco,2014-01-01,polanjo01,13152
518960,Jonathan,Lucroy,2010-01-01,lucrojo01,7870
672386,Alejandro,Kirk,2020-01-01,kirkal01,22581
467055,Pablo,Sandoval,2008-01-01,sandopa01,5409
519203,Anthony,Rizzo,2011-01-01,rizzoan01,3473
453568,Charlie,Blackmon,2011-01-01,blackch02,7859
666969,Adolis,García,2018-01-01,garciad02,19287
650333,Luis,Arráez,2019-01-01,arraelu01,18568
502517,Daniel,Murphy,2008-01-01,murphda08,4316
542303,Marcell,Ozuna,2013-01-01,ozunama01,10324
575929,Willson,Contreras,2016-01-01,contrwi01,11609
434567,Geovany,Soto,2005-01-01,sotoge01,3707
656775,Cedric,Mullins,2018-01-01,mullice01,17929
435263,Brian,McCann,2005-01-01,mccanbr01,4810
606115,Orlando,Arcia,2016-01-01,arciaor01,13185
518692,Freddie,Freeman,2010-01-01,freemfr01,5361
641355,Cody,Bellinger,2017-01-01,bellico01,15998
621043,Carlos,Correa,2015-01-01,correca01,14162
431094,Aaron,Hill,2005-01-01,hillaa01,6104
444843,Andre,Ethier,2006-01-01,ethiean01,6265
450314,Ben,Zobrist,2006-01-01,zobribe01,7435
665487,Fernando,Tatís,2019-01-01,tatisfe02,19709
435063,Mike,Napoli,2006-01-01,napolmi01,3057
518626,Josh,Donaldson,2010-01-01,donaljo02,5038
661388,William,Contreras,2020-01-01,contrwi02,20503
453064,Troy,Tulowitzki,2006-01-01,tulowtr01,3531
543063,Brandon,Crawford,2011-01-01,crawfbr01,5343
571448,Nolan,Arenado,2013-01-01,arenano01,9777
429666,J. J.,Hardy,2005-01-01,hardyjj01,3797
592518,Manny,Machado,2012-01-01,machama01,11493
471865,Carlos,González,2008-01-01,gonzaca01,7287
621439,Byron,Buxton,2015-01-01,buxtoby01,14161
592206,Nick,Castellanos,2013-01-01,casteni01,11737
446359,Zack,Cozart,2011-01-01,cozarza01,2616
462564,Dan,Uggla,2006-01-01,ugglada01,3442
650490,Yandy,Díaz,2017-01-01,diazya01,16578
467793,Carlos,Santana,2010-01-01,santaca01,2396
502671,Paul,Goldschmidt,2011-01-01,goldspa01,9218
668804,Bryan,Reynolds,2019-01-01,reynobr01,19326
430945,Adam,Jones,2006-01-01,jonesad01,6368
488671,Alex,Avila,2009-01-01,avilaal01,7476
466320,Melky,Cabrera,2005-01-01,cabreme01,4022
456030,Dustin,Pedroia,2006-01-01,pedrodu01,8370
457763,Buster,Posey,2009-01-01,poseybu01,9166
608369,Corey,Seager,2015-01-01,seageco01,13624
669720,Austin,Hays,2017-01-01,haysau01,19363
592885,Christian,Yelich,2013-01-01,yelicch01,11477
475253,Justin,Smoak,2010-01-01,smoakju01,9054
607208,Trea,Turner,2015-01-01,turnetr01,16252
431145,Russell,Martin,2006-01-01,martiru01,4616
461314,Matt,Kemp,2006-01-01,kempma01,5631
665926,Andrés,Giménez,2020-01-01,gimenan01,19950
519317,Giancarlo,Stanton,2010-01-01,stantmi03,4949
641313,Tim,Anderson,2016-01-01,anderti01,15172
460075,Ryan,Braun,2007-01-01,braunry02,3410
646240,Rafael,Devers,2017-01-01,deverra01,17350
547989,José,Abreu,2014-01-01,abreujo02,15676
502110,J. D.,Martinez,2011-01-01,martijd02,6184
641680,Jonah,Heim,2020-01-01,heimjo01,16930
592663,J. T.,Realmuto,2014-01-01,realmjt01,11739
452678,Asdrúbal,Cabrera,2007-01-01,cabreas01,4962
458015,Joey,Votto,2007-01-01,vottojo01,4314
643446,Jeff,McNeil,2018-01-01,mcneije01,15362
488726,Michael,Brantley,2009-01-01,brantmi02,4106
596142,Gary,Sánchez,2015-01-01,sanchga02,11442
665489,Vladimir,Guerrero,2019-01-01,guerrvl02,19611
425902,Prince,Fielder,2005-01-01,fieldpr01,4613
608365,Addison,Russell,2015-01-01,russead02,14106
429664,Robinson,Canó,2005-01-01,canoro01,3269
453943,Todd,Frazier,2011-01-01,frazito01,785
624428,Adam,Frazier,2016-01-01,fraziad01,15223
669221,Sean,Murphy,2019-01-01,murphse01,19352
543760,Marcus,Semien,2013-01-01,semiema01,12533
521692,Salvador,Pérez,2011-01-01,perezsa02,7304
543807,George,Springer,2014-01-01,springe01,12856
571976,Wil,Myers,2013-01-01,myerswi01,10047
475582,Ryan,Zimmerman,2005-01-01,zimmery01,4220
285078,Josh,Hamilton,2007-01-01,hamiljo03,1875
547180,Bryce,Harper,2012-01-01,harpebr03,11579
595879,Javier,Báez,2014-01-01,baezja01,12979
445988,Martín,Prado,2006-01-01,pradoma01,3312
592626,Joc,Pederson,2014-01-01,pederjo01,11899
660670,Ronald,Acuña,2018-01-01,acunaro01,18401
444876,Alcides,Escobar,2008-01-01,escobal02,6310
668227,Randy,Arozarena,2019-01-01,arozara01,19290
456715,Lorenzo,Cain,2010-01-01,cainlo01,9077
543333,Eric,Hosmer,2011-01-01,hosmeer01,3516
606192,Teoscar,Hernández,2016-01-01,hernate01,13066
673962,Josh,Jung,2022-01-01,jungjo01,26299
606466,Ketel,Marte,2015-01-01,marteke01,13613
598265,Jackie,Bradley,2013-01-01,bradlja02,12984
455976,Nick,Markakis,2006-01-01,markani01,5930
593428,Xander,Bogaerts,2013-01-01,bogaexa01,12161
605137,Josh,Bell,2016-01-01,belljo02,13145
608070,José,Ramírez,2013-01-01,ramirjo01,13510
624577,Yasiel,Puig,2013-01-01,puigya01,14225
608324,Alex,Bregman,2016-01-01,bregmal01,17678
514888,José,Altuve,2011-01-01,altuvjo01,5417
545361,Mike,Trout,2011-01-01,troutmi01,10155
457705,Andrew,McCutchen,2009-01-01,mccutan01,9847
